,File,HLA,Avg_Token_NLL,model_path
672,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_1_HLAA6901_2_per_token_metrics.csv,A6901,12.972444655150634,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA6901/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_1_HLAA6901_2.pt
132,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_1_HLAB0801_2_per_token_metrics.csv,B0801,13.159509207134699,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB0801/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_1_HLAB0801_2.pt
459,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAA2601_1_per_token_metrics.csv,A2601,13.164739156893589,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA2601/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAA2601_1.pt
1633,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAB5401_1_per_token_metrics.csv,B5401,13.19503589670332,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB5401/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAB5401_1.pt
777,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_3_HLAB5701_2_per_token_metrics.csv,B5701,13.203524470839424,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB5701/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_3_HLAB5701_2.pt
1439,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_HLAA3002_1_per_token_metrics.csv,A3002,13.241546504125113,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3002/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_HLAA3002_1.pt
939,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_1_HLAA2301_1_per_token_metrics.csv,A2301,13.255735590605214,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA2301/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_1_HLAA2301_1.pt
1474,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_1_HLAA3301_1_per_token_metrics.csv,A3301,13.29407715268463,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3301/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_1_HLAA3301_1.pt
801,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAB8301_1_per_token_metrics.csv,B8301,13.331289556004908,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB8301/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAB8301_1.pt
1329,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAB4506_2_per_token_metrics.csv,B4506,13.382797460843486,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB4506/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAB4506_2.pt
1547,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAB4001_2_per_token_metrics.csv,B4001,13.535461802699652,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB4001/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAB4001_2.pt
1688,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAB3508_1_per_token_metrics.csv,B3508,13.543138328336,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB3508/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAB3508_1.pt
570,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAC1502_2_per_token_metrics.csv,C1502,13.596081852245545,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC1502/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAC1502_2.pt
800,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAB8301_1_per_token_metrics.csv,B8301,13.638203961093884,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB8301/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAB8301_1.pt
814,ESMMASK_epitope_FT_25_0.001_1e-06_AUG_1_HLAC0602_1_per_token_metrics.csv,C0602,13.660754324317061,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0602/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_1_HLAC0602_1.pt
1422,ESMMASK_epitope_FT_25_0.001_1e-06_AUG_1_HLAA6823_2_per_token_metrics.csv,A6823,13.676726036268615,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA6823/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_1_HLAA6823_2.pt
1733,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAA0205_1_per_token_metrics.csv,A0205,13.677011448825942,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0205/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAA0205_1.pt
1689,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAB3508_2_per_token_metrics.csv,B3508,13.768669324411652,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB3508/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAB3508_2.pt
1289,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_HLAA2902_1_per_token_metrics.csv,A2902,13.776475219764139,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA2902/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_HLAA2902_1.pt
781,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAB5701_2_per_token_metrics.csv,B5701,13.784170635275482,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB5701/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAB5701_2.pt
1655,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAA0216_1_per_token_metrics.csv,A0216,13.813011117577036,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0216/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAA0216_1.pt
1449,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_3_HLAB5801_2_per_token_metrics.csv,B5801,13.815761313515793,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB5801/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_3_HLAB5801_2.pt
830,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAC0304_1_per_token_metrics.csv,C0304,13.81908944394225,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0304/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAC0304_1.pt
