File,HLA,Avg_Token_NLL,model_path,Encoding,Model
ESMMASK_HLA_FT_15_0.001_1e-05_AUG_4_B3503_2_per_token_metrics.csv,B3503,2.082488978851394,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB3503/ESMMASK_HLA_FT_15_0.001_1e-05_AUG_4_B3503_2.pt,HLA,B3503+HLA
ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_3_B0801_2_per_token_metrics.csv,B0801,2.0840372639199707,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB0801/ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_3_B0801_2.pt,HLA,B0801+HLA
ESMMASK_HLA_FT_15_0.0001_1e-05_AUG_4_B1542_1_per_token_metrics.csv,B1542,2.0867371458264263,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB1542/ESMMASK_HLA_FT_15_0.0001_1e-05_AUG_4_B1542_1.pt,HLA,B1542+HLA
ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_3_C1203_2_per_token_metrics.csv,C1203,2.089369211378938,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC1203/ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_3_C1203_2.pt,HLA,C1203+HLA
ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_B5101_1_per_token_metrics.csv,B5101,2.0911129586156485,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB5101/ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_B5101_1.pt,HLA,B5101+HLA
ESMMASK_HLA_FT_20_0.001_1e-05_AUG_3_C1402_2_per_token_metrics.csv,C1402,2.091517552701176,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC1402/ESMMASK_HLA_FT_20_0.001_1e-05_AUG_3_C1402_2.pt,HLA,C1402+HLA
ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_B5101_1_per_token_metrics.csv,B5101,2.0962188702437468,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB5101/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_B5101_1.pt,epitope,B5101+epitope
ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_3_A0207_1_per_token_metrics.csv,A0207,2.1022773869453544,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0207/ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_3_A0207_1.pt,HLA,A0207+HLA
ESMMASK_HLA_FT_15_0.001_5e-05_AUG_3_B1302_2_per_token_metrics.csv,B1302,2.1025127992519628,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB1302/ESMMASK_HLA_FT_15_0.001_5e-05_AUG_3_B1302_2.pt,HLA,B1302+HLA
ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_4_B3508_2_per_token_metrics.csv,B3508,2.1115660756123025,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB3508/ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_4_B3508_2.pt,HLA,B3508+HLA
ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_B4402_1_per_token_metrics.csv,B4402,2.112335629860449,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4402/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_B4402_1.pt,epitope,B4402+epitope
ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_1_B0702_1_per_token_metrics.csv,B0702,2.1147935206726736,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB0702/ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_1_B0702_1.pt,HLA,B0702+HLA
ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_4_A2902_2_per_token_metrics.csv,A2902,2.1164662507238297,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA2902/ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_4_A2902_2.pt,epitope,A2902+epitope
ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_4_A0202_1_per_token_metrics.csv,A0202,2.121839029694211,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0202/ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_4_A0202_1.pt,HLA,A0202+HLA
ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_3_C0802_2_per_token_metrics.csv,C0802,2.1277532084893584,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC0802/ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_3_C0802_2.pt,epitope,C0802+epitope
ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_3_A0205_2_per_token_metrics.csv,A0205,2.1285186516901486,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0205/ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_3_A0205_2.pt,HLA,A0205+HLA
ESMMASK_epitope_FT_25_0.0001_5e-05_AUG_4_B3503_1_per_token_metrics.csv,B3503,2.1290217641711666,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB3503/ESMMASK_epitope_FT_25_0.0001_5e-05_AUG_4_B3503_1.pt,epitope,B3503+epitope
ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_1_C0802_1_per_token_metrics.csv,C0802,2.131159215883815,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC0802/ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_1_C0802_1.pt,HLA,C0802+HLA
ESMMASK_epitope_FT_15_0.001_1e-05_AUG_3_A0201_2_per_token_metrics.csv,A0201,2.1316706451182856,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0201/ESMMASK_epitope_FT_15_0.001_1e-05_AUG_3_A0201_2.pt,epitope,A0201+epitope
ESMMASK_HLA_FT_15_0.001_5e-05_AUG_4_B1501_1_per_token_metrics.csv,B1501,2.1321214869886305,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB1501/ESMMASK_HLA_FT_15_0.001_5e-05_AUG_4_B1501_1.pt,HLA,B1501+HLA
ESMMASK_epitope_FT_25_0.0001_5e-05_AUG_4_C0401_1_per_token_metrics.csv,C0401,2.133647488464492,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC0401/ESMMASK_epitope_FT_25_0.0001_5e-05_AUG_4_C0401_1.pt,epitope,C0401+epitope
ESMMASK_epitope_FT_25_0.001_1e-06_AUG_4_B5201_1_per_token_metrics.csv,B5201,2.1357987896117074,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB5201/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_4_B5201_1.pt,epitope,B5201+epitope
ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_3_B1801_1_per_token_metrics.csv,B1801,2.1364856295320322,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB1801/ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_3_B1801_1.pt,HLA,B1801+HLA
ESMMASK_HLA_FT_20_0.001_5e-05_AUG_3_B1517_2_per_token_metrics.csv,B1517,2.1386707079580134,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB1517/ESMMASK_HLA_FT_20_0.001_5e-05_AUG_3_B1517_2.pt,HLA,B1517+HLA
ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_4_B2704_1_per_token_metrics.csv,B2704,2.139555654731115,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB2704/ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_4_B2704_1.pt,HLA,B2704+HLA
ESMMASK_HLA_FT_25_0.001_1e-06_AUG_4_A1101_1_per_token_metrics.csv,A1101,2.1431549927618145,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA1101/ESMMASK_HLA_FT_25_0.001_1e-06_AUG_4_A1101_1.pt,HLA,A1101+HLA
ESMMASK_epitope_FT_15_0.001_1e-06_AUG_4_A2501_1_per_token_metrics.csv,A2501,2.1436191281350307,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA2501/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_4_A2501_1.pt,epitope,A2501+epitope
ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_1_C0501_2_per_token_metrics.csv,C0501,2.148909185063878,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC0501/ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_1_C0501_2.pt,epitope,C0501+epitope
ESMMASK_epitope_FT_25_0.001_1e-06_AUG_4_C1203_1_per_token_metrics.csv,C1203,2.1516185435763213,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC1203/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_4_C1203_1.pt,epitope,C1203+epitope
ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_3_A6601_1_per_token_metrics.csv,A6601,2.154405590980929,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA6601/ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_3_A6601_1.pt,HLA,A6601+HLA
ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_3_B0702_1_per_token_metrics.csv,B0702,2.1544991184107305,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB0702/ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_3_B0702_1.pt,epitope,B0702+epitope
ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_3_B1302_1_per_token_metrics.csv,B1302,2.1562682635249986,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB1302/ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_3_B1302_1.pt,epitope,B1302+epitope
ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_A2402_1_per_token_metrics.csv,A2402,2.156939038631163,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA2402/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_A2402_1.pt,epitope,A2402+epitope
ESMMASK_epitope_FT_25_0.001_1e-05_AUG_4_A1101_1_per_token_metrics.csv,A1101,2.158548320030072,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA1101/ESMMASK_epitope_FT_25_0.001_1e-05_AUG_4_A1101_1.pt,epitope,A1101+epitope
ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_4_B4403_2_per_token_metrics.csv,B4403,2.1604181375345703,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4403/ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_4_B4403_2.pt,epitope,B4403+epitope
ESMMASK_epitope_FT_25_0.001_1e-05_AUG_4_A0204_2_per_token_metrics.csv,A0204,2.162267583944629,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0204/ESMMASK_epitope_FT_25_0.001_1e-05_AUG_4_A0204_2.pt,epitope,A0204+epitope
ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_3_C0501_1_per_token_metrics.csv,C0501,2.1646639228587023,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC0501/ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_3_C0501_1.pt,HLA,C0501+HLA
ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_4_B4501_2_per_token_metrics.csv,B4501,2.165387512828418,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4501/ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_4_B4501_2.pt,epitope,B4501+epitope
ESMMASK_HLA_FT_15_0.001_1e-05_AUG_3_A0301_2_per_token_metrics.csv,A0301,2.1730160494757245,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0301/ESMMASK_HLA_FT_15_0.001_1e-05_AUG_3_A0301_2.pt,HLA,A0301+HLA
