HLA,group_label,training_data,n_reps,mean,std
A6801,PT E 0L,611.6,4,0.34561040887271255,0.08449588366362636
A6801,PT E 0L,1223.2,4,0.4785199526542372,0.030481278783851023
A6801,PT E 0L,1834.8,4,0.45868610992869246,0.05080624482428783
A6801,PT E 30L,611.6,4,0.6113535047011813,0.04914855474064813
A6801,PT E 30L,1223.2,4,0.5586152409022229,0.038589870159526245
A6801,PT E 30L,1834.8,4,0.6194086285667283,0.028150270166532515
A6801,PT E 30L,2446.4,3,0.5879058328200243,0.03481484403750365
A6801,PT E 30L,2905.1,3,0.6149926644349871,0.053351786307526426
A6801,PT H 0L,611.6,4,-0.0838695443988237,0.09459754760693838
A6801,PT H 0L,1223.2,4,-0.03508285079805823,0.17858565428455775
A6801,PT H 0L,1834.8,4,-0.08974623853972592,0.1971935148829873
A6801,PT H 30L,611.6,4,0.3620499541203225,0.15155154603432153
A6801,PT H 30L,1834.8,4,0.5011148284028785,0.18094153584521513
A6801,PT H 30L,2446.4,3,0.3559115106714204,0.28759881720786756
A6801,PT H 30L,2905.1,3,0.5881084774455725,0.09022126607406572
B0702,Non-PT H 0L,744.8000000000001,3,0.36859260509810604,0.048590829591741186
B0702,Non-PT H 0L,1489.6000000000001,3,0.4037104733994561,0.025832677419671244
B0702,Non-PT H 0L,2234.4,3,0.42238584453191635,0.02692576540463
B0702,Non-PT H 0L,3537.7999999999997,3,0.41800585642879523,0.012208460561059249
B0702,Non-PT H 30L,744.8000000000001,3,0.5066487698052029,0.0938491354047164
B0702,Non-PT H 30L,2234.4,3,0.6000957925962477,0.013042383270874022
B0702,Non-PT H 30L,2979.2000000000003,3,0.6092970420788099,0.030852084394971845
B0702,Non-PT H 30L,3537.7999999999997,3,0.6171760310019393,0.04386878742517902
B0702,PT E 0L,744.8000000000001,3,0.30714491155314533,0.0021348085463529206
B0702,PT E 0L,1489.6000000000001,4,0.3465367376297374,0.03454776772961676
B0702,PT E 0L,2234.4,4,0.37052804839928044,0.011091422090762651
B0702,PT E 30L,744.8000000000001,4,0.5524129406238492,0.027003608954881925
B0702,PT E 30L,1489.6000000000001,4,0.5710189242623296,0.029102320678924713
B0702,PT E 30L,2234.4,4,0.6172941456686576,0.0440175042432776
B0702,PT H 0L,744.8000000000001,4,0.1807622181646728,0.11202204919931387
B0702,PT H 0L,1489.6000000000001,4,0.17787484081687843,0.10368906297027491
B0702,PT H 0L,2234.4,4,0.26940201300202515,0.05700298673010243
B0702,PT H 30L,744.8000000000001,4,0.4369166772599281,0.18679085023388517
B0702,PT H 30L,2979.2000000000003,3,0.6468239818003529,0.017248503701793667
B0801,Non-PT H 0L,474.8,3,0.3518504309967813,0.04443207358661968
B0801,Non-PT H 0L,949.6,3,0.272416817547594,0.029606720189766778
B0801,Non-PT H 0L,1424.3999999999999,3,0.26533005365937296,0.03131808128217136
B0801,Non-PT H 0L,1899.2,3,0.20476310004922563,0.11027597580480074
B0801,Non-PT H 30L,474.8,3,0.1900516774805087,0.1624505317124548
B0801,Non-PT H 30L,949.6,3,0.392353908855077,0.032577954009523326
