,HLA,Losses,encoding,data_prop,trained_blocks,lr_transformer,lr_regression,n_evaluations,spearman,pearsonr,mse,mae,r2,rmse,time,path,Model,rank_mse,rank_corr,rank_sum
5953,B4501,Hubber,epitope,0.4,30,0.0001,0.0001,20,0.8360902255639097,0.8275871863174701,0.3127057877567516,0.4604034125804901,0.6382170796691855,0.5592010262479421,2025-05-28 22:11:15,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.4_30_ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_4_B4501_2_0.0001_0.0001__8_B4501_0404_Hubber_B4501.csv,B4501 epitope,2.0,1.0,3.0
10,A3101,Hubber,epitope,0.85,30,0.0001,0.0001,8,0.8333333333333335,0.9355426681982582,0.37045322861610164,0.4777696281671524,0.7507128954556734,0.6086486906386159,2025-04-23 02:47:19,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_4_A3101_2_0.0001_0.0001__1_A3101_0404_Hubber_A3101.csv,A3101 epitope,2.0,3.5,5.5
126,A0207,Hubber,epitope,0.8,30,0.0001,0.0001,6,0.8285714285714287,0.8835084249787263,0.39275040653849463,0.4626476665337878,0.7051379265686331,0.6266980186170167,2025-04-23 02:32:50,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_15_0.0001_1e-06_AUG_3_A0207_2_0.0001_0.0001__1_A0207_0404_Hubber_A0207.csv,A0207 epitope,12.0,2.0,14.0
337,B5401,Hubber,epitope,0.85,30,0.0001,0.0001,45,0.8238471673254282,0.7947985622258471,0.32075849832405595,0.4295405334896512,0.6300289155129899,0.5663554522771507,2025-04-23 02:38:05,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_B5401_2_0.0001_0.0001__1_B5401_0404_Hubber_B5401.csv,B5401 epitope,2.0,1.0,3.0
3199,C0303,Hubber,HLA,0.6,0,,4,7,0.8214285714285715,0.6862613933207704,0.81060403001528,0.7008042165211269,0.03951281872777501,0.9003355096936253,2025-05-28 18:37:48,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.6_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_C0303_0404_Hubber_C0303.csv,C0303 HLA,12.0,2.0,14.0
6352,B5701,Hubber,HLA,0.4,30,,2,7,0.8214285714285715,0.5662585368593918,0.09817136357233573,0.23774417809077666,0.2128369641299871,0.31332309773193506,2025-05-28 14:00:45,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.4_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__2_B5701_0404_Hubber_B5701.csv,B5701 HLA,2.0,1.0,3.0
2570,B1801,Hubber,HLA,0.4,30,,2,12,0.8181818181818183,0.9425400445300092,1.0062413471608822,0.8605531255404154,0.645193506868248,1.0031158194151273,2025-05-28 22:48:21,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.4_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__2_B1801_0404_Hubber_B1801.csv,B1801 HLA,4.0,2.0,6.0
2791,B5801,Hubber,epitope,0.95,30,,5,122,0.8175221592660769,0.8193366131370188,0.39061974071166,0.4711334294960147,0.669493590804056,0.6249957925551659,2025-05-28 14:00:31,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.95_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_B5801_0404_Hubber_B5801.csv,B5801 epitope,2.0,2.0,4.0
278,B4403,Hubber,epitope,0.4,30,0.0001,0.0001,9,0.8166666666666667,0.8109601302935368,0.976596715651017,0.6503387408124076,0.513268869672635,0.9882290805531969,2025-05-28 20:28:36,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.4_30_ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_4_B4403_2_0.0001_0.0001__7_B4403_0404_Hubber_B4403.csv,B4403 epitope,1.0,1.0,2.0
1583,A3301,Hubber,HLA,0.4,30,,5,8,0.8117540630909458,0.9016836867849289,0.3454952122363172,0.4661935716867448,0.7412929885435628,0.5877884077083497,2025-05-28 17:45:41,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.4_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_A3301_0404_Hubber_A3301.csv,A3301 HLA,4.0,2.0,6.0
