,HLA,Losses,encoding,data_prop,trained_blocks,lr_transformer,lr_regression,n_evaluations,spearman,pearsonr,mse,mae,r2,rmse,time,path,Model,rank_mse,rank_corr,rank_sum,pretrain
2660,A2603,Hubber,HLA,0.95,0,0.0001,0.0001,9,0.0182574185835055,0.0617165565127733,0.556990979863599,0.5332631535000271,-0.4038519477654296,0.7463182832167513,2025-05-28 20:36:14,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.95_0_ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_3_A2603_1_0.0001_0.0001__8_A2603_0404_Hubber_A2603.csv,A2603 HLA,4.0,21.0,25.0,Pretrained
4027,C0802,Hubber,HLA,0.2,30,,5.0,2,0.0,0.0,0.0245788331126562,0.1204141378402712,-0.4362634322248628,0.1567763793198971,2025-05-28 19:00:27,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.2_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_C0802_0404_Hubber_C0802.csv,C0802 HLA,1.0,28.0,29.0,Not Pretrained
2311,B4001,Hubber,epitope,0.8,0,,4.0,3,0.0,0.0,1.4727616511224582,0.860859915614128,-1.5890167317262138,1.213573916629085,2025-05-28 13:11:43,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.8_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_B4001_0404_Hubber_B4001.csv,B4001 epitope,1.0,27.0,28.0,Not Pretrained
6622,A6802,Hubber,epitope,0.95,30,,4.0,2,0.0,0.0,1.2780093829702128,1.0899520218372345,-18.57884754003883,1.130490770846986,2025-05-28 13:57:10,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.95_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_A6802_0404_Hubber_A6802.csv,A6802 epitope,1.0,26.5,27.5,Not Pretrained
3782,B4001,Hubber,HLA,0.95,30,0.0001,0.0001,3,0.0,0.0,0.7561360525960836,0.5980471422274907,-0.3292367370787121,0.869560838927377,2025-05-28 21:12:25,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_1_B4001_2_0.0001_0.0001__7_B4001_0404_Hubber_B4001.csv,B4001 HLA,1.0,27.0,28.0,Pretrained
6414,C0701,Hubber,epitope,0.2,30,0.0001,0.0001,2,0.0,0.0,0.5044161852852653,0.7087783813476562,0.4742712311843942,0.7102226307892937,2025-05-28 22:07:27,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.2_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_C0701_1_0.0001_0.0001__8_C0701_0404_Hubber_C0701.csv,C0701 epitope,1.0,26.0,27.0,Pretrained
3292,A0206,Hubber,epitope,0.95,0,,4.0,2,0.0,0.0,0.1949911291162891,0.3293427228927612,-15.66850548321586,0.4415779989042583,2025-05-28 13:54:20,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.95_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_A0206_0404_Hubber_A0206.csv,A0206 epitope,1.0,26.0,27.0,Not Pretrained
2626,A3207,Hubber,HLA,0.4,0,,4.0,2,0.0,0.0,0.0352569816650714,0.1613403558731079,-1.7182646156290096,0.1877684256340011,2025-05-28 17:45:35,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.4_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_A3207_0404_Hubber_A3207.csv,A3207 HLA,1.0,27.5,28.5,Not Pretrained
5877,B3501,Hubber,epitope,0.95,0,,4.0,2,0.0,0.0,0.6612457189498375,0.795034795999527,-0.4823308469990406,0.8131701660475731,2025-05-28 12:58:38,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.95_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_B3501_0404_Hubber_B3501.csv,B3501 epitope,1.0,25.5,26.5,Not Pretrained
2859,C0802,Hubber,epitope,0.6,30,,5.0,4,0.0,0.0,0.069580844975519,0.1681289672851563,-3.1791741430356755,0.2637818132008329,2025-05-28 12:55:01,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.6_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_C0802_0404_Hubber_C0802.csv,C0802 epitope,1.0,25.5,26.5,Not Pretrained
